BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,ServiceAreaId,ServiceAreaName,CoverEntireState,County,PartialCounty,RowNumber,MarketCoverage,DentalOnlyPlan
2014,ME,48396,OPM,2,2013-11-29 08:33:31,48396,ME,MES001,Anthem Health Plans of ME South Counties,No,23011.0,No,17,Individual,False
2014,ME,48396,OPM,2,2013-11-29 08:33:31,48396,ME,MES001,Anthem Health Plans of ME South Counties,No,23017.0,No,18,Individual,False
2014,ME,48396,OPM,2,2013-11-29 08:33:31,48396,ME,MES001,Anthem Health Plans of ME South Counties,No,23001.0,No,19,Individual,False
2014,AK,38344,OPM,2,2013-10-16 19:58:29,38344,AK,AKS001,AK Service Area,Yes,23001.0,No,13,Individual,False
2014,AK,38344,OPM,2,2013-10-16 19:58:29,38344,AK,AKS001,AK Service Area,Yes,23001.0,No,13,SHOP (Small Group),False
2014,AR,75293,OPM,4,2014-01-27 10:05:29,75293,AR,ARS001,Arkansas,Yes,23001.0,No,13,Individual,False
2014,DE,76168,OPM,5,2014-03-21 10:00:27,76168,DE,DES001,Delaware,Yes,23001.0,No,13,Individual,False
2014,GA,49046,OPM,2,2013-11-27 09:24:34,49046,GA,GAS001,"BCBS Healthcare Plan of Georgia, Inc.",Yes,23001.0,No,13,Individual,False
2014,IL,36096,OPM,2,2013-10-16 19:58:29,36096,IL,ILS001,Statewide,Yes,23001.0,No,13,Individual,False
2014,IN,17575,OPM,2,2013-11-27 09:24:34,17575,IN,INS001,Anthem Ins Companies Inc(Anthem BCBS),Yes,23001.0,No,13,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20001.0,No,13,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20003.0,No,14,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20005.0,No,15,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20007.0,No,16,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20009.0,No,17,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20011.0,No,18,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20013.0,No,19,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20015.0,No,20,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20017.0,No,21,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20019.0,No,22,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20021.0,No,23,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20023.0,No,24,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20025.0,No,25,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20027.0,No,26,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20029.0,No,27,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20031.0,No,28,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20033.0,No,29,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20035.0,No,30,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20037.0,No,31,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20039.0,No,32,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20041.0,No,33,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20043.0,No,34,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20045.0,No,35,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20047.0,No,36,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20049.0,No,37,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20051.0,No,38,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20053.0,No,39,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20055.0,No,40,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20057.0,No,41,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20059.0,No,42,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20061.0,No,43,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20063.0,No,44,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20065.0,No,45,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20067.0,No,46,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20069.0,No,47,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20071.0,No,48,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20073.0,No,49,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20167.0,No,95,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20169.0,No,96,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20171.0,No,97,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20173.0,No,98,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20175.0,No,99,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20177.0,No,100,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20179.0,No,101,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20181.0,No,102,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20183.0,No,103,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20185.0,No,104,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20187.0,No,105,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20189.0,No,106,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20191.0,No,107,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20193.0,No,108,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20195.0,No,109,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20197.0,No,110,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20199.0,No,111,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20201.0,No,112,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20203.0,No,113,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20205.0,No,114,Individual,False
2014,KS,18558,OPM,1,2013-09-25 15:48:46,18558,KS,KSS001,Blue Cross and Blue Shield of Kansas,No,20207.0,No,115,Individual,False
2014,LA,97176,OPM,3,2014-01-24 09:49:15,97176,LA,LAS001,Statewide LA,Yes,20207.0,No,13,Individual,False
2014,ME,48396,OPM,2,2013-11-29 08:33:31,48396,ME,MES001,Anthem Health Plans of ME South Counties,No,23007.0,No,13,Individual,False
